127.0.0.1 - - [07/Jun/2020:20:53:45 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:53:47 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:53:47 +0800] "GET /SelectClass/image/university.jpg HTTP/1.1" 200 646128
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:53:47 +0800] "GET /SelectClass/css/index.css HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:53:47 +0800] "GET /SelectClass/css/amazeui.min.css HTTP/1.1" 200 255214
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:53:47 +0800] "GET /SelectClass/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 76518
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:54:23 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:54:23 +0800] "GET /SelectClass/image/university.jpg HTTP/1.1" 200 646128
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:54:23 +0800] "GET /SelectClass/css/index.css HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:54:23 +0800] "GET /SelectClass/css/amazeui.min.css HTTP/1.1" 200 255214
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:54:24 +0800] "GET /SelectClass/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:54:24 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:54:41 +0800] "GET /SelectClass/login.jsp HTTP/1.1" 200 3548
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:54:41 +0800] "GET /SelectClass/img/logName.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:54:41 +0800] "GET /SelectClass/image/return-dark.png HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:54:41 +0800] "GET /SelectClass/img/logPwd.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:54:41 +0800] "GET /SelectClass/4.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:54:52 +0800] "POST /SelectClass/Login HTTP/1.1" 500 1590
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:54:57 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 2046
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:54:57 +0800] "GET /SelectClass/image/editpwd.png HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:55:03 +0800] "GET /SelectClass/editPwd.jsp HTTP/1.1" 200 5493
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:55:03 +0800] "GET /SelectClass/img/logPwd.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:55:03 +0800] "GET /SelectClass/4.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:55:08 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 2046
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:55:15 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1590
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:56:37 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 2046
0:0:0:0:0:0:0:1 - - [07/Jun/2020:20:56:39 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1590
0:0:0:0:0:0:0:1 - - [07/Jun/2020:21:00:02 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1668
0:0:0:0:0:0:0:1 - - [07/Jun/2020:21:00:05 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [07/Jun/2020:21:00:10 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 2046
0:0:0:0:0:0:0:1 - - [07/Jun/2020:21:00:11 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1668
0:0:0:0:0:0:0:1 - - [07/Jun/2020:22:43:14 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [07/Jun/2020:22:43:17 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [07/Jun/2020:22:43:24 +0800] "GET /SelectClass/login.jsp HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [07/Jun/2020:22:43:24 +0800] "GET /SelectClass/img/logName.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [07/Jun/2020:22:43:24 +0800] "GET /SelectClass/img/logPwd.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [07/Jun/2020:22:43:24 +0800] "GET /SelectClass/4.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [07/Jun/2020:22:43:32 +0800] "POST /SelectClass/Login HTTP/1.1" 500 1668
0:0:0:0:0:0:0:1 - - [07/Jun/2020:22:43:34 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 2046
0:0:0:0:0:0:0:1 - - [07/Jun/2020:22:43:34 +0800] "GET /SelectClass/image/editpwd.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2020:22:43:37 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1668
0:0:0:0:0:0:0:1 - - [07/Jun/2020:22:43:38 +0800] "GET /SelectClass/myclass.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [07/Jun/2020:22:43:39 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1668
0:0:0:0:0:0:0:1 - - [07/Jun/2020:22:43:43 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 2046
0:0:0:0:0:0:0:1 - - [07/Jun/2020:22:43:45 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1668
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:18:49 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:18:52 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:18:54 +0800] "GET /SelectClass/login.jsp HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:18:54 +0800] "GET /SelectClass/img/logName.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:18:54 +0800] "GET /SelectClass/img/logPwd.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:18:54 +0800] "GET /SelectClass/4.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:18:59 +0800] "POST /SelectClass/Login HTTP/1.1" 500 1668
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:19:02 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 2046
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:19:10 +0800] "GET /SelectClass/editPwd.jsp HTTP/1.1" 200 5493
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:19:10 +0800] "GET /SelectClass/img/logPwd.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:19:10 +0800] "GET /SelectClass/4.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:19:12 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 2046
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:19:14 +0800] "GET /SelectClass/index.jsp HTTP/1.1" 200 1668
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:19:16 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 2046
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:19:21 +0800] "GET /SelectClass/editPwd.jsp HTTP/1.1" 200 5493
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:19:21 +0800] "GET /SelectClass/img/logPwd.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:19:21 +0800] "GET /SelectClass/4.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:19:36 +0800] "POST /SelectClass/EditPwd HTTP/1.1" 200 5535
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:19:36 +0800] "GET /SelectClass/img/logPwd.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:19:36 +0800] "GET /SelectClass/4.jpg HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [07/Jun/2020:23:19:41 +0800] "GET /SelectClass/personIn.jsp HTTP/1.1" 200 2046
